Symbol,Group,Bottom_Rev_Prob,Top_Rev_Prob,Trend_Label,Trend_Conf,Forecast_25d_Pct,Forecast_45d_Pct,Forecast_180d_Pct,Forecast_25d_Price,Forecast_45d_Price,Forecast_180d_Price,Bottom_Rev_Flag,Top_Rev_Flag,Show_180d
PERSISTENT,IT,64.7,0.0,Sideways,57.8,3.8,9.5,50.3,4894.28,5166.93,7088.58,True,False,False
CHOLAFIN,Financial,49.8,0.0,Sideways,69.9,1.7,9.8,27.0,1465.18,1582.33,1829.46,False,False,False
MUTHOOTFIN,Financial,0.2,0.1,Sideways,66.7,6.4,9.1,20.2,3528.09,3618.19,3987.35,False,False,False
FINEORG,Chemicals,29.1,0.1,Sideways,73.5,-1.8,-1.4,1.4,4179.76,4196.3,4314.09,False,False,False
TITAN,Consumer,0.1,0.1,Uncertain,49.7,0.1,-0.8,8.1,4111.39,4072.37,4439.91,False,False,False
DHANUKA,Chemicals,36.4,0.1,Sideways,78.7,7.1,19.4,34.5,1030.68,1148.38,1293.81,False,False,False
PIIND,Chemicals,0.4,0.1,Sideways,72.1,1.5,3.1,7.3,2953.24,3000.67,3122.25,False,False,False
BEL,Industrial,0.1,0.1,Uncertain,42.3,1.2,4.0,17.5,431.33,443.11,500.83,False,False,False
ABSLAMC,Financial,0.0,21.6,Uncertain,47.1,8.1,11.6,42.6,1020.82,1054.49,1347.32,False,False,False
SUNPHARMA,Healthcare,0.0,0.1,Uncertain,53.7,1.5,4.1,15.1,1804.05,1849.16,2045.25,False,False,False
COFORGE,IT,81.3,0.1,Sideways,69.1,6.3,9.6,68.1,1157.62,1193.54,1831.26,True,False,False
DIVISLAB,Healthcare,0.1,0.1,Sideways,55.9,1.0,1.5,11.5,6161.9,6191.9,6804.12,False,False,False
GARFIBRES,Industrial,66.5,0.1,Uncertain,49.2,-2.1,-1.6,1.8,598.98,602.08,622.98,True,False,False
PARAS,Industrial,0.2,0.1,Sideways,72.5,3.4,1.0,20.3,648.25,633.18,754.68,False,False,False
HAPPSTMNDS,IT,0.1,22.9,Sideways,77.5,-0.7,1.9,46.6,407.82,418.73,602.16,False,False,False
TCS,IT,47.1,0.1,Sideways,71.4,6.8,11.0,26.3,2552.72,2652.88,3018.2,False,False,False
HAL,Industrial,64.1,0.0,Uncertain,44.3,5.2,2.7,17.4,3980.92,3884.31,4441.21,True,False,False
INFY,IT,79.3,0.1,Sideways,65.0,4.0,6.7,26.8,1305.85,1339.82,1592.54,True,False,False
LTTS,IT,40.9,0.1,Sideways,83.7,7.6,14.8,68.8,3475.21,3705.9,5451.89,False,False,False
GRANULES,Healthcare,0.0,0.2,Uncertain,46.4,0.8,2.2,10.2,595.67,603.69,650.98,False,False,False
HAVELLS,Consumer,73.9,0.1,Uncertain,49.2,1.9,2.6,14.5,1306.16,1314.99,1467.29,True,False,False
VINATIORGA,Chemicals,77.2,0.1,Sideways,67.5,3.3,9.3,8.4,1431.66,1515.58,1502.36,True,False,False
HDFCBANK,Financial,78.9,0.0,Sideways,57.1,0.8,4.1,19.3,786.63,812.21,931.12,True,False,False
RELIANCE,Industrial,0.1,0.1,Sideways,57.4,1.4,2.8,8.7,1434.08,1454.03,1537.33,False,False,False
IPCALAB,Healthcare,0.0,41.9,Uncertain,54.2,1.9,4.3,10.7,1574.65,1611.96,1710.56,False,False,False
WONDERLA,Consumer,0.1,58.2,Sideways,73.5,-1.5,-0.3,1.4,512.3,518.48,527.67,False,False,False
GALAXYSURF,Chemicals,78.4,0.0,Uncertain,49.7,5.4,8.4,19.2,1730.29,1779.06,1956.1,True,False,False
VGUARD,Consumer,0.1,0.1,Uncertain,51.5,3.8,5.4,23.6,337.23,342.54,401.63,False,False,False
SYMPHONY,Consumer,84.2,0.1,Uncertain,50.1,4.1,5.0,41.4,803.45,809.95,1091.16,True,False,False
SUPRAJIT,Industrial,0.1,0.1,Sideways,60.8,-0.5,-0.9,9.6,400.68,399.02,441.33,False,False,False
WIPRO,IT,65.8,0.1,Sideways,74.9,5.3,10.4,17.7,201.08,210.78,224.62,True,False,False
CREDITACC,Financial,27.2,0.0,Sideways,79.6,2.0,8.3,29.1,1180.5,1252.4,1493.85,False,False,False
HIMATSEIDE,Industrial,86.1,0.1,Uncertain,38.3,3.8,0.8,-18.1,82.3,79.99,64.98,True,False,False
APLLTD,Healthcare,72.9,0.0,Sideways,55.1,6.5,8.7,29.7,721.52,736.32,878.24,True,False,False
MIDHANI,Industrial,63.6,0.1,Uncertain,54.0,0.6,1.4,-2.8,317.26,319.6,306.55,True,False,False
MANAPPURAM,Financial,71.3,0.1,Sideways,56.3,2.3,3.9,14.0,265.2,269.28,295.46,True,False,False
RALLIS,Chemicals,84.7,0.1,Uncertain,48.5,4.1,8.3,28.2,248.47,258.54,305.9,True,False,False
