Symbol,Sector,Quality Score,Promoter Holding Score,Promoter Trend Score,Institutional Score,Profit Consistency Score,CF Quality Score,Promoter Holding %,Promoter Change 4Q,FII + DII %
TCS,Information Technology,15,3,2,2,4,4,71.77,0.0,23.18
RELIANCE,"Oil, Gas & Consumable Fuels",13,2,2,1,4,4,50.0,-0.13,39.19
WIPRO,Information Technology,16,3,2,3,4,4,72.64,-0.11,16.6
PERSISTENT,Information Technology,11,0,2,1,4,4,30.29,-0.37,52.59
LTTS,Information Technology,16,3,2,3,4,4,73.58,-0.08,18.79
HAPPSTMNDS,Information Technology,14,1,2,3,4,4,44.21,-0.02,15.51
CHOLAFIN,Financial Services,9,1,2,1,4,1,49.72,-0.21,44.1
MUTHOOTFIN,Financial Services,12,3,2,2,4,1,73.35,0.0,22.88
MANAPPURAM,Financial Services,7,0,2,1,3,1,35.25,0.0,39.93
CREDITACC,Financial Services,11,3,2,2,3,1,66.28,-0.22,24.91
GARFIBRES,Textiles,16,2,3,3,4,4,53.36,0.36,19.51
SUPRAJIT,Automobile and Auto Components,13,1,3,2,3,4,45.14,0.5,23.89
HIMATSEIDE,Textiles,14,0,3,3,4,4,37.48,0.24,17.81
HAL,Capital Goods,13,3,2,2,4,2,71.64,0.0,20.54
BEL,Capital Goods,11,2,2,1,4,2,51.14,0.0,38.98
MIDHANI,Capital Goods,16,3,2,4,4,3,74.0,0.0,9.17
PARAS,Capital Goods,12,2,0,4,4,2,53.2,-3.85,6.2
VINATIORGA,Chemicals,16,3,2,3,4,4,74.29,0.0,13.61
FINEORG,Chemicals,16,3,2,3,4,4,75.0,0.0,16.23
GALAXYSURF,Chemicals,16,3,2,3,4,4,70.91,0.0,17.13
AAVAS,Financial Services,11,1,4,1,4,1,48.95,22.48,39.02
SUNPHARMA,Healthcare,13,2,2,1,4,4,54.48,0.0,36.84
DIVISLAB,Healthcare,12,2,2,1,4,3,51.88,-0.01,39.26
APLLTD,Healthcare,15,3,3,2,4,3,69.74,0.13,20.4
GRANULES,Healthcare,12,0,2,2,4,4,38.02,-0.81,32.3
IPCALAB,Healthcare,12,1,2,1,4,4,44.72,0.0,47.61
TITAN,Consumer Durables,11,2,2,2,4,1,52.9,0.0,30.38
HAVELLS,Consumer Durables,13,2,2,2,4,3,59.38,-0.03,34.49
VGUARD,Consumer Durables,11,2,1,1,4,3,53.28,-1.08,35.44
SYMPHONY,Consumer Durables,15,3,2,3,3,4,73.42,0.0,14.04
WONDERLA,Consumer Services,15,3,2,3,3,4,62.25,-0.01,16.71
PIIND,Chemicals,12,1,2,1,4,4,46.09,0.0,46.91
RALLIS,Chemicals,13,2,2,2,3,4,55.08,0.0,23.38
DHANUKA,Chemicals,15,3,2,2,4,4,69.72,-0.57,20.92
ABSLAMC,Financial Services,15,3,2,3,4,3,74.82,-0.08,16.84
